__ Lafaye ,F. Lafaye     ,"Lafaye, F.",,
__ Lanteires,André Lanteirès      ,"Lanteirès, André",,
__ Larnaudie ,Ph.-A. Larnaudie     ,"Larnaudie, Ph.-A.",,
Mme. Le Chevalier de Boisval ,Marguerite Le Chevallier de Boisval     ,"Le Chevallier de Boisval, Marguerite      ",,
Nicolas-Jean Méreaux,Nicolas-Jean Le Froid de Méreaux,"Le Froid de Méreaux, Nicolas-Jean ",,
Louis Jacques Alfred Lefebure-Wely ,Louis James Alfred Lefébure-Wely     ,"Lefébure-Wely, Louis James Alfred",,
__ Leguay ,A. Leguay     ,"Leguay, A.",,
Jean Frédéric Auguste Lemière de Corvey ,Jean-Frédéric-Auguste Lemière de Corvey     ,"Lemière de Corvey, Jean-Frédéric-Auguste   ",,
Charles Fern Lenepveu ,Charles Lenepveu     ,"Lenepveu, Charles",,
"Leopold I Kaiser von Deutschland, ","Leopold I, Kaiser von Deutschland ","Leopold I, Kaiser von Deutschland ",,
Armand Marie Limnander de Niewehove,Armand Limnander de Niewehove,"Limnander de Niewehove, Armand",,
__ Linnès ,Émile Linnès     ,"Linnès, Émile",,
[Ladislaus Lubomirski] W. Lirsky  ,[Władysław Lubomirski] W. Lirsky  ,"Lirsky, W. [Władysław Lubomirski] ",,
Ludvík Losták,Ludvík Lošťák,"Lošťák, Ludvík",,
Severo Antonio de Luca ,Severo de Luca     ,"Luca, Severo de",,
Juliusz Luciuk,Juliusz Łuciuk,"Łuciuk, Juliusz",,
P. Maison ,Paul Maison     ,"Maison, Paul",,
Rajko Maksimovíc,Rajko Maksimović,"Maksimović, Rajko",,
Antoine Louis Malliot,Antoine-Louis Malliot,"Malliot, Antoine-Louis ",,
Josip Mandic,Josip Mandić,"Mandić, Josip",,
A. Maniquet ,Antoine Maniquet     ,"Maniquet, Antoine",,
Charles Casimir Manry,Charles Manry,"Manry, Charles",,
Achille Gaix de Mansour,Achille Mansour,"Mansour, Achille",,
P. L. Marini ,P.-L. Marini     ,"Marini, P.-L.",,
Bohuslav Martinu,Bohuslav Martinů,"Martinů, Bohuslav",,
Vincenc Masek,Vincenc Mašek,"Mašek, Vincenc",,
Karl M. May,Karl Michael May,"May, Karl Michael ",,
Janis Medins,Jānis Mediņš,"Mediņš, Jānis",,
Jazeps Medins,Jāzeps Mediņš,"Mediņš, Jāzeps",,
Henryk Melcer-Szczawinski,Henryk Melcer-Szczawiński,"Melcer-Szczawiński, Henryk",,
A. Mérault ,Albert Mérault      ,"Mérault, Albert",,
Pietro Meucci di Signa,Pietro Meucci,"Meucci, Pietro",,
Frantisek Adam Mica,František Adam Míča,"Míča, František Adam",,
Frantisek Antonín Mica,František Václav Míča,"Míča, František Václav ",,
Emil Mlynarski,Emil Młynarski ,"Młynarski, Emil",,
Jerôme-Joseph de Momigny,Jerôme Joseph Momigny,"Momigny, Jerôme Joseph ",,
Stanislaw Moniuszko,Stanisław Moniuszko,"Moniuszko, Stanisław",,
Joseph Jean Baptiste Monsigu,Joseph Monsigu,"Monsigu, Joseph",,
G. Morand ,Georges Morand     ,"Morand, Georges",,
Charles Auguste de Morny,Auguste de Morny,"Morny, Auguste de ",,
Franz Müller ,Franz Ferdinand Georg Müller   ,"Müller, Franz Ferdinand Georg",,
Josef Myslivecek,Josef Mysliveček,"Mysliveček, Josef",,
Svetomir Nastasijevic,Svetomir Nastasijević,"Nastasijević, Svetomir",,
Stefan Neaga,Ştefan Neaga,"Neaga, Ştefan",,
Martian Negrea,Marțian Negrea,"Negrea, Marțian",,
Josef Nesvera,Josef Nešvera,"Nešvera, Josef",,
Frantisek Neumann,František Neumann,"Neumann, František",,
Stefan Niculescu,Ştefan Niculescu,"Niculescu, Ştefan",,
Francisco de Sá Noronha ,Francisco da Sá Noronha     ,"Noronha, Francisco da Sá",,
Vítezslav Novák,Vítězslav Novák,"Novák, Vítězslav",,
Michael Kazimierz Oginski,Michał Kazimierz Ogiński,"Ogiński, Michał Kazimierz ",,
G. L. Olivero,G. L. Oliviero,"Oliviero, G. L. ",,
Henryk Opienski,Henryk Opieński,"Opieński, Henryk",,
Luigi dei Conti Orsini,Luigi Orsini,"Orsini, Luigi",,
Ranulphe Marie Eustache Comte d'Osmond ,Ranulphe-Marie-Eustache d'Osmond     ,"Osmond, Ranulphe-Marie-Eustache d'",,
Otakar Ostrcil,Otakar Ostrčil,"Ostrčil, Otakar",,
Bernardino Ottani ,Bernardo Ottani     ,"Ottani, Bernardo",,
Jekabs Ozols,Jēkabs Ozols,"Ozols, Jēkabs",,
Ferdinand Paer ,Ferdinando Paer     ,"Paer, Ferdinando",,
__ Pannaria,Francesco Pannaria,"Pannaria, Francesco",,
Ivo Parac,Ivo Parać,"Parać, Ivo",,
Jirí Pauer,Jiří Pauer,"Pauer, Jiří",,
F. J. M. de Munibe e Idiáquez Peñaflorida ,Francisco Javier María de Munibe e Idiáquez Peñaflorida,"Peñaflorida, Francisco Javier María de Munibe e Idiáquez",,
Hans Peró,Hans Pero,"Pero, Hans",,
Louis-Luc Loiseau de Persius ,Louis-Luc Loiseau de Persuis     ,"Persuis, Louis-Luc Loiseau de",,
Josep Picaсol,Josep Picañol,"Picañol, Josep",,
Adolf Piskacek,Adolf Piskáček,"Piskáček, Adolf",,
Dominique Charles Planchet,Dominique-Charles Planchet,"Planchet, Dominique-Charles ",,
Charles Henri Plantade,Charles-Henri Plantade,"Plantade, Charles-Henri ",,
Ludvík Podést,Ludvík Podéšť,"Podéšť, Ludvík",,
Lelio Ignazio di Poggio,Lelio di Poggio,"Poggio, Lelio di ",,
Mirko Polic,Mirko Polič,"Polič, Mirko",,
Louis Barthélmy Pradher ,Louis-Barthélmy Pradher     ,"Pradher, Louis-Barthélmy",,
Eugène Prosper Prévost ,Eugène-Prosper Prévost     ,"Prévost, Eugène-Prosper",,
Jean Prodomidès ,Jean Prodromidès       ,"Prodromidès, Jean",,
Anatol Provaznik,Anatol Provazník,"Provazník, Anatol",,
__ Quinebaud ,__ Quinebaux     ,"Quinebaux, __",,
G. Rabany ,Charles-Guillaume Rabany     ,"Rabany, Charles-Guillaume",,
Antanas Raciunas,Antanas Račiūnas,"Račiūnas, Antanas",,
Karel Frantisek Rafael,Karel František Rafael,"Rafael, Karel František ",,
Stanojlo Rajicic,Stanojlo Rajičić,"Rajičić, Stanojlo",,
Carl Aage Rasmussen ,Karl Aage Rasmussen     ,"Rasmussen, Karl Aage",,
Karl Rathaus,Karol Rathaus,"Rathaus, Karol",,
Gustave Armand Henri Comte de Reiset,Gustave-Armand-Henri de Reiset,"Reiset, Gustave-Armand-Henri de ",,
Alphonse-Zoé-Charles Renaud de Vilbac ,Charles Renaud de Vilback,"Renaud de Vilback, Charles",,
A. Rieu ,Albert Rieu     ,"Rieu, Albert",,
Louis Victor Étienne Rifaut ,Victor Rifaut     ,"Rifaut, Victor",,
François-Anatole Laurent de Rillé,Laurent de Rillé,"Rillé, Laurent de ",,
[Eduard Kreusch] C. E. Robert,[Eduard Kreusch] C. E. Robert,"Robert, C. E. [Eduard Kreusch]",,
Édouard Roger ,Edmond Roger     ,"Roger, Edmond",,
__ Rolly ,J. Rolly     ,"Rolly, J.",,
Alexis Jean Rostand ,Alexis Rostand    ,"Rostand, Alexis",,
Paul-Louis Rougnon ,Paul Rougnon     ,"Rougnon, Paul",,
Samuel Alexandre Rousseau,Samuel Rousseau,"Rousseau, Samuel",,
J. M. Rouvier ,Marius Rouvier     ,"Rouvier, Marius",,
Josef Richard Rozkosný,Josef Richard Rozkošný,"Rozkošný, Josef Richard ",,
Ludomir Rózycki,Ludomir Różycki,"Różycki, Ludomir",,
Zbigniew Rudzinski,Zbigniew Rudziński,"Rudziński, Zbigniew",,
Camille Saint-Saлns,Camille Saint-Saëns,"Saint-Saëns, Camille ",,
Nicolò Sala ,Nicola Sala     ,"Sala, Nicola",,
Pietro Giuseppe Sandoni,Pier Giuseppe Sandoni,"Sandoni, Pier Giuseppe ",,
Domenico Sarro ,Domenico Natale Sarro     ,"Sarro, Domenico Natale",,
__ Savene,__  Savène,"Savène, __",,
[Friedrich von Schirza] Risto Savin,[Friderik Širca] Risto Savin,"Savin, Risto [Friderik Širca]  ",,
__ Scheidecker ,Jules Scheidecker     ,"Scheidecker, Jules",,
O. V. Schiff ,Otto Victor Schiff     ,"Schiff, Otto Victor",,
Xaver Schnyder von Wartensee ,Franz Xaver Schnyder von Wartensee     ,"Schnyder von Wartensee, Franz Xaver",,
Josef Schuster ,Joseph Schuster     ,"Schuster, Joseph",,
Karel Richard Sebor,Karel Richard Šebor,"Šebor, Karel Richard ",,
Adolphe-Valentin Sellenick,Adolphe Sellenick,"Sellenick, Adolphe",,
Romald Senator ,Ronald Senator    ,"Senator, Ronald",,
Alessandro Sigrai di San Marzano,Alessandro Sigray di San Marzano,"Sigray di San Marzano, Alessandro",,
Elzbieta Sikora,Elżbieta Sikora,"Sikora, Elżbieta",,
[Mme. Peigné] Max Silni ,[Mme. Peigné] Max Silny,"Silny, Max [Mme. Peigné] ",,
Louis Victor Simon ,Louis-Victor Simon     ,"Simon, Louis-Victor",,
José Siqueira,José de Lima Siqueira,"Siqueira, José de Lima ",,
Pavel Sivic,Pavel Šivic,"Šivic, Pavel",,
Frantisek Jan Skroup,František Jan Škroup,"Škroup, František Jan ",,
Jan Nepomuk Skroup,Jan Nepomuk Škroup,"Škroup, Jan Nepomuk ",,
Frantisek Zdenek Skuherský,František Zdeněk Skuherský,"Skuherský, František Zdeněk ",,
Bedrich Smetana,Bedřich Smetana,"Smetana, Bedřich",,
Jirí Smutný,Jiří Smutný,"Smutný, Jiří",,
Ragnar Söderlind ,Ragnar Søderlind    ,"Søderlind, Ragnar",,
Josep Soler Sardа ,Josep Soler i Sardà     ,"Soler i Sardà, Josep",,
Micha Spoliansky ,Mischa Spoliansky    ,"Spoliansky, Mischa",,
Milos Stedron,Miloš Štědroň,"Štědroň, Miloš",,
Emma Roberta Steiner ,Emma Roberto Steiner   ,"Steiner, Emma Roberto",,
George Stephanescu,George Stephănescu,"Stephănescu, George",,
Ludovic Stiénon du Pré ,Ludovic Stiénon Du Pré     ,"Stiénon Du Pré, Ludovic",,
Eugen Suchon,Eugen Suchoň,"Suchoň, Eugen",,
Frantisek Suchý,František Suchý,"Suchý, František",,
Stepán Sulek,Stjepan Šulek,"Šulek, Stjepan",,
Baldwin Sulzer ,Balduin Sulzer   ,"Sulzer, Balduin",,
__ Surleau ,Auguste Surleau     ,"Surleau, Auguste",,
Tomaz Svete,Tomaž Svete,"Svete, Tomaž",,
__ Tac-Coen ,[Pierre Tac-Coen] Tac-Coen     ,"Tac-Coen, [Pierre Tac-Coen]",,
Théodore Jean Tarade ,Théodore-Jean Tarade     ,"Tarade, Théodore-Jean",,
Cornel Taranu,Cornel Țăranu,"Țăranu, Cornel",,
__ Terrillon ,F. Terrillon     ,"Terrillon, F.",,
Ivo Tijardovic,Ivo Tijardović,"Tijardović, Ivo",,
Sigismund Toduta,Sigismund Toduţă,"Toduţă, Sigismund",,
Anton Tomásek,Anton Tomášek,"Tomášek, Anton",,
Theodor Tomásek,Theodor Tomášek,"Tomášek, Theodor",,
Václav Jan Krtitel Tomásek,Václav Jan Křtitel Tomášek,"Tomášek, Václav Jan Křtitel",,
R. Torrent ,Raoul Torrent     ,"Torrent, Raoul",,
Giovanni D. Trebbi,Giovanni Trebbi,"Trebbi, Giovanni",,
Hanus Trnecek,Hanuš Trneček,"Trneček, Hanuš",,
Antonín Tucapský,Antonín Tučapský,"Tučapský, Antonín",,
Vincenc Tucek,František Vincenc Tuček,"Tuček, František Vincenc ",,
Ferit Tuzun,Ferit Tüzün,"Tüzün, Ferit",,
Viktor Ullman ,Viktor Ullmann   ,"Ullmann, Viktor",,
__ Uzépy ,Ernest Uzépy     ,"Uzépy, Ernest",,
Milos Vacek,Miloš Vacek,"Vacek, Miloš",,
J. Vandenesse ,Jacques-Arthur Vandenesse      ,"Vandenesse, Jacques-Arthur",,
Adolph Vedro,Adolf Vedro,"Vedro, Adolf",,
Léon Vercken de Vreuschmen,Léon Vercken,"Vercken, Léon",,
Tihomil Vidosic,Tihomil Vidošić,"Vidošić, Tihomil",,
Jan Vitásek,Jan August Vitásek,"Vitásek, Jan August ",,
Charles-Louis-Adolphe Vogel,Adolphe Vogel,"Vogel, Adolphe",,
Boleslav Vomácka,Boleslav Vomáčka,"Vomáčka, Boleslav",,
Zbynék Vostrák,Zbyněk Vostřák,"Vostřák, Zbyněk",,
Boleslaw Wallek-Walewski,Bolesław Wallek-Walewski,"Wallek-Walewski, Bolesław",,
Jean-Baptiste-Théodore Weckerlin,Jean-Baptiste Weckerlin,"Weckerlin, Jean-Baptiste ",,
Karl Erik Welin,Karl-Erik Welin,"Welin, Karl-Erik ",,
Georges Martin Witkowski,Georges-Martin Witkowski,"Witkowski, Georges-Martin ",,
André Alphonse Toussaint Wormser,André Wormser,"Wormser, André",,
Felix von Woyrsch,Felix Woyrsch,"Woyrsch, Felix ",,
Evzen Zámecnik,Evžen Zámečník,"Zámečník, Evžen",,
Margers Zarins,Marģeris Zariņš,"Zariņš, Marģeris",,
Wladyslaw Zelenski,Władysław Żeleński,"Żeleński, Władysław",,
Marc Antonio Ziani ,Marc'Antonio Ziani     ,"Ziani, Marc'Antonio",,
Hartnack Otto Konrad Zinck ,Hardenack Otto Konrad Zinck   ,"Zinck, Hardenack Otto Konrad",,
