Nicola Giuseppe Morbili di Sant-Angelo,Nicola Giuseppe Morbilli,"Morbilli, Nicola Giuseppe ",,
Roderich Moor ,Roderich Morr     ,"Morr, Roderich",,
Slawomir Mrozek,Sławomir Mrożek,"Mrożek, Sławomir",,
Tudor Musatescu,Tudor Muşatescu,"Muşatescu, Tudor",,
Jossif Nasalevits,Jossif Nasalevitš,"Nasalevitš, Jossif",,
Momcilo Nastasijevic,Momčilo Nastasijević,"Nastasijević, Momčilo",,
Svetomir Nastasijevic,Svetomir Nastasijević,"Nastasijević, Svetomir",,
Martian Negrea,Marțian Negrea,"Negrea, Marțian",,
Bozena Nemcová,Božena Němcová,"Němcová, Božena",,
Víteslav Nezval,Vítězslav Nezval,"Nezval, Vítězslav",,
Momir Nikolic,Momir Nikolić,"Nikolić, Momir",,
Rikard Nikolic,Rikard Nikolić,"Nikolić, Rikard",,
Krystyna Nizynska,Krystyna Niżyńska,"Niżyńska, Krystyna",,
Branislav Nusic,Branislav Nušić,"Nušić, Branislav",,
J. Nuth ,Franz Anton Nuth     ,"Nuth, Franz Anton",,
Tomás O'Kelly ,[Thomas O’Kelly] Tomás Ó Ceallaigh        ,"Ó Ceallaigh, Tomás [Thomas O’Kelly]",,
__ Obreo ,L. d'Obréo     ,"Obréo, L. d'",,
Sigurd Obstfelder ,Sigbjørn Obstfelder      ,"Obstfelder, Sigbjørn",,
Pavel Országh-Hviezdoslav,Pavol Országh-Hviezdoslav,"Országh-Hviezdoslav, Pavol",,
Ludwik Osinski,Ludwik Osiński,"Osiński, Ludwik",,
Charles-Pierre-Hyacinthe Comte d'Ossun ,Charles-Pierre-Hyacinthe d'Ossun     ,"Ossun, Charles-Pierre-Hyacinthe d'",,
Jan Otcenásek,Jan Otčenášek,"Otčenášek, Jan",,
__ Partouncaux ,__ Partouneaux     ,"Partouneaux, __ ",,
Boris Pasternak,Boris Leonidovich Pasternak,"Pasternak, Boris Leonidovich ",,
Jirí Pauer,Jiří Pauer,"Pauer, Jiří",,
"""Sardou, Victorien [Jules Pélissié]",[Victorien Sardou] Jules Pélissié,"Pélissié, Jules [Victorien Sardou]  ",,
E. Pessina,Elizaveta Pessina,"Pessina, Elizaveta",,
Ruza Lucija Petelinova,Ruža Lucija Petelinova,"Petelinova, Ruža Lucija ",,
Janis Peters,Jānis Peters,"Peters, Jānis",,
Ljubinko Petrovic,Ljubinko Petrović,"Petrović, Ljubinko",,
Petar Petrovic Njegos,Petar Petrović-Njegoš,"Petrović-Njegoš, Petar",,
Leon Pierozynski,Leon Pierożyński,"Pierożyński, Leon",,
Todor Pinterovic,Todor Pinterović,"Pinterović, Todor",,
François-Antoine-Eugène de Planard ,Eugène de Planard     ,"Planard, Eugène de ",,
Ludvík Podést,Ludvík Podéšť,"Podéšť, Ludvík",,
Ange Étienne Xavier Poisson de La Chaubeaussière ,Auguste-Étienne-Xavier Poisson de La Chaubeaussière     ,"Poisson de La Chaubeaussière, Auguste-Étienne-Xavier",,
Karel Polácek,Karel Poláček,"Poláček, Karel",,
Vojtech Polácek ,Václav Polácek    ,"Polácek, Václav",,
Mirko Polic,Mirko Polič,"Polič, Mirko",,
Silvia Popescu ,Sebastian Popescu     ,"Popescu, Sebastian",,
Jovan Sterija Popovic,Jovan Sterija Popović,"Popović, Jovan Sterija ",,
Ilja Prachar,Ilja Prachař,"Prachař, Ilja",,
G. de Praylauré ,G. Praylauré     ,"Praylauré, G.",,
Jules Regnault de Prémaray ,Jules de Prémaray     ,"Prémaray, Jules de",,
A. Prerovský-Caletka,A. Přerovský-Caletka,"Přerovský-Caletka, A.",,
Frantisek Serafin Procházka,František Serafínský Procházka,"Procházka, František Serafínský ",,
